x,edad,sexo,p_originario
1560,56,M,no
1561,8,M,no
1562,7,M,no
1563,36,M,no
1564,17,M,no
1565,25,M,no
1566,71,H,no
1567,39,M,no
1568,15,H,no
1569,81,H,no
1570,33,M,no
1571,66,H,no
1572,17,H,no
1573,44,H,no
1574,63,M,no
1575,7,H,no
1576,46,H,no
1577,23,M,no
1578,28,H,no
1579,40,H,no
1580,62,M,no
1581,20,M,no
1582,37,H,no
1583,5,H,no
1584,60,M,no
1585,38,M,no
1586,63,H,no
1587,56,M,no
1588,14,M,no
1589,19,H,no
1590,13,H,no
1591,64,M,no
1592,34,M,no
1593,46,H,no
1594,19,M,no
1595,43,H,no
1596,53,H,no
1597,59,M,no
1598,53,M,no
1599,78,M,no
1600,41,H,no
1601,8,M,no
1602,54,H,no
1603,63,H,si
1604,53,M,no
1605,13,H,si
1606,3,M,no
1607,24,M,no
1608,19,H,si
1609,22,H,si
1610,51,H,no
1611,64,M,no
1612,0,M,no
1613,25,H,no
1614,27,M,no
1615,1,M,no
1616,47,M,no
1617,60,M,no
1618,73,H,no
1619,16,M,no
1620,60,H,si
1621,18,M,no
1622,3,M,no
1623,40,H,no
1624,43,H,no
1625,4,M,no
1626,4,M,no
1627,81,M,no
1628,78,M,no
1629,49,H,no
1630,26,H,no
1631,45,H,si
1632,1,M,no
1633,38,M,no
1634,57,H,si
1635,29,H,no
1636,17,H,no
1637,64,M,no
1638,41,M,no
1639,15,H,no
1640,25,H,no
1641,0,M,no
1642,52,H,no
1643,62,H,no
1644,63,M,si
1645,57,M,no
1646,60,H,no
1647,58,M,no
1648,57,H,no
1649,50,M,no
1650,9,H,no
1651,69,H,no
1652,50,H,no
1653,26,H,no
1654,15,H,no
1655,24,H,no
